ï»¿id,username,full_name,user_profile,followed_by_viewer,requested_by_viewer,user_follows,user_followed_by,profile_pic_url,profile_pic_url_hd,is_private,follows_count,followed_by_count,media_count,latestPostDate,follows_viewer,has_requested_viewer,blocked_by_viewer,has_blocked_viewer,biography,is_verified,is_business_account,business_category_name,business_email,business_phone_number,street_address,zip_code,city_name,region_name,country_code
27043616,mikunitaro,mikunitaro,https://www.instagram.com/mikunitaro,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-1.cdninstagram.com/vp/0390f493dc265691eef26536219b789a/5D21E6D4/t51.2885-19/s150x150/53611099_2268946683357417_6313885805278396416_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,https://scontent-ort2-1.cdninstagram.com/vp/e89074e7aee38458a9559f2b37376d3a/5D05BAAC/t51.2885-19/s320x320/53611099_2268946683357417_6313885805278396416_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,FALSE,1215,10245,3909,3/6/19,FALSE,FALSE,FALSE,FALSE,CDO: Chief Dreaming Officer,FALSE,FALSE,,,,,,,,
23704656,erikababy1,Eâù_ï¸èMoney,https://www.instagram.com/erikababy1,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-1.cdninstagram.com/vp/172c9b13e48cf5d226e48fdfc4b80771/5D24748E/t51.2885-19/s150x150/51759812_333045450752148_2699897733111611392_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,https://scontent-ort2-1.cdninstagram.com/vp/fe7779775427ca250baf7eb6eebf2556/5D14407E/t51.2885-19/s320x320/51759812_333045450752148_2699897733111611392_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,TRUE,197,32202,534,,FALSE,FALSE,FALSE,FALSE,âù_ï¸è,FALSE,FALSE,,,,,,,,
13745183,money23green,Draymond Green,https://www.instagram.com/money23green,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-1.cdninstagram.com/vp/91ce1e978027fba302694e7b14f0bfbc/5D2574B1/t51.2885-19/11939276_910518012317239_736350544_a.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,,,,,,,,,,,,TRUE,,,,,,,,,
200783383,jibrizy,Jibrizy Magic,https://www.instagram.com/jibrizy,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-1.cdninstagram.com/vp/d38ee4b8ce92f0c6eb93dc786cbeffa3/5D066516/t51.2885-19/s150x150/52134502_323094525220607_8422512819726974976_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,,,,,,,,,,,,TRUE,,,,,,,,,
481422815,mac11,Mike Conley,https://www.instagram.com/mac11,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-1.cdninstagram.com/vp/d19395754a8bbcad9b03172bae2349ff/5D07B6B3/t51.2885-19/s150x150/41829287_443102022879861_8430379941387829248_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,,,,,,,,,,,,TRUE,,,,,,,,,
436926821,t.aayyy___,taylor,https://www.instagram.com/t.aayyy___,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-1.cdninstagram.com/vp/16fdaf389f7fa042c4878ae847e5f730/5D14CB1A/t51.2885-19/s150x150/45303414_267780973918041_5470763882324688896_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,,,,,,,,,,,,FALSE,,,,,,,,,
38757807,jaren,Jaren Jackson Jr.,https://www.instagram.com/jaren,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-1.cdninstagram.com/vp/9cd2f0b436275595244f0cd68dc43fd0/5D13677E/t51.2885-19/s150x150/43915430_2265457386858953_2835236507705409536_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,,,,,,,,,,,,TRUE,,,,,,,,,
15532971,iambarondavis,Baron Davis,https://www.instagram.com/iambarondavis,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-1.cdninstagram.com/vp/b9b3af44620033ea4ae8ccdbe3c8435b/5D0D4A40/t51.2885-19/s150x150/47694205_280939125914845_2341391207982170112_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,,,,,,,,,,,,TRUE,,,,,,,,,
8715481,tobiasharris,Tobias Harris,https://www.instagram.com/tobiasharris,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-1.cdninstagram.com/vp/6e7071d7596cc1f5a85159f45e647b79/5D239512/t51.2885-19/s150x150/45687599_358475114909999_3763448840963751936_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,,,,,,,,,,,,TRUE,,,,,,,,,
1213066102,sienna.st,siennaâ˜€ï¸è_Ÿç¯_Ÿè†,https://www.instagram.com/sienna.st,FALSE,FALSE,TRUE,FALSE,https://scontent-ort2-1.cdninstagram.com/vp/45eed6d7d90f044cb8359a601e626368/5D04E0AD/t51.2885-19/s150x150/52508213_863599590637732_3854090578102845440_n.jpg?_nc_ht=scontent-ort2-1.cdninstagram.com,,,,,,,,,,,,FALSE,,,,,,,,,
